cba_name;supermarket;formato_objetivo;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Pan corriente sin envasar;jumbo;500 g a 1 kg pan corriente;8878;Pan Campo 550 g;Jumbo Artesanal;2290.0;2290.0;2290.0;;;;mass;550.0;;;4.163636363636364;;;Pan Artesanal;6.5;https://www.jumbo.cl/pan-campo-rustico-jumbo-550-g-1-unid-2/p
Pan corriente sin envasar;lider;500 g a 1 kg pan corriente;dom_3;Pan Precocido Hallulla Integral Atm 18 Un, 1 kg;;2390.0;2390.0;2390.0;;;;mass;1000.0;;;2.39;;Panadería Envasada > Pan Especial;;6.5;https://super.lider.cl/ip/panaderia-envasada/00040005054558
Pan corriente sin envasar;unimarc;500 g a 1 kg pan corriente;74306;Pan hallulla Prosepan granel 500 g;Prosepan;1095.0;1095.0;1095.0;;Kg;500 g;mass;500.0;;;2.19;;Pan;Pan corriente;8.0;https://www.unimarc.cl/pan-hallulla-prosepan-kg/p
Papa de guarda;jumbo;1 kg;144151;Papa Pre Frita Fina Minuto Verde 800 g;Minuto Verde;4490.0;4490.0;3490.0;;;;mass;800.0;;;5.6125;;;Verduras Congeladas (Mostrar todo);7.4;https://www.jumbo.cl/papa-pre-frita-fina-minuto-verde-800gr-2020051/p
Papa de guarda;lider;1 kg;dom_9;Papa Baby Bolsa, 1 Kg;;2590.0;2590.0;2590.0;;;;mass;1000.0;;;2.59;;Verduras > Papas y Cebollas;;8.0;https://super.lider.cl/ip/verduras/00780464799005
Papa de guarda;unimarc;1 kg;69699;Papa mix Huertos del Ranco 650 g;Huertos Del Ranco;1690.0;1690.0;1690.0;;Kg;1 un;mass;650.0;;;2.6;;Verduras;Verduras;6.95;https://www.unimarc.cl/papa-mix-huertos-del-ranco-650-gr/p
Papas fritas;jumbo;snack 100 g a 350 g;159022;Papas Fritas Lay's Switch Sabor a Queso y Chile 180 g;Lay's;1990.0;1990.0;1990.0;;;;mass;180.0;;;11.055555555555555;;;Papas Fritas;5.0;https://www.jumbo.cl/papas-fritas-lay-s-switch-sabor-a-queso-y-chile-180-g/p
Papas fritas;lider;snack 100 g a 350 g;dom_17;Papas Fritas Tarro Original, 130 g;;3000.0;3000.0;2190.0;;;;mass;130.0;;;23.076923076923077;;Snacks y Picoteo > Papas Fritas y Vegetales;;5.0;https://super.lider.cl/ip/snacks-y-picoteo/00780280053356
Papas fritas;unimarc;snack 100 g a 350 g;96205;Papas fritas Lays tipo americano 50 gr;Lays;990.0;990.0;990.0;10000.0;Kg;1 un;mass;50.0;;;19.8;;Cóctel y snacks;Papas fritas;5.0;https://www.unimarc.cl/papas-fritas-t-americano-lays-50-gr/p
Paté;jumbo;100 g a 200 g;36125;Paté Foie Perello 100 g;Perelló;1450.0;1450.0;1450.0;;;;mass;100.0;;;14.5;;;Pastas Untables;5.0;https://www.jumbo.cl/pate-foie-perello-100-g/p
Paté;lider;100 g a 200 g;dom_1;Paté Ternera Embutido Untable, 125 g;;5680.0;5680.0;70.0;;;;mass;125.0;;;45.44;;Fiambres y Embutidos > Patés;;5.0;https://super.lider.cl/ip/fiambres-y-embutidos/00780190700430
Paté;unimarc;100 g a 200 g;89268;Paté de ternera Fundo Río Alegre 125 g;Fundo Rio Alegre;710.0;710.0;710.0;8900.0;Kg;1 un;mass;125.0;;;5.68;;Fiambres y embutidos;Paté;5.0;https://www.unimarc.cl/pate-de-ternera-fundo-rio-alegre-125-gr-2/p
Pechuga de pollo;jumbo;1 kg;88661;Pechuga de Pollo Deshuesada Ariztía Sin Piel 850 g;Ariztía;7690.0;7690.0;6390.0;;;;mass;850.0;;;9.047058823529412;;;Filetes y Pechuga de Pollo;12.05;https://www.jumbo.cl/pechuga-deshuesada-de-pollo-sin-piel-850-g/p
Pechuga de pollo;lider;1 kg;dom_24;Pollo Pechuga Congelada, 1 kg;;5990.0;5990.0;800.0;;;;mass;1000.0;;;5.99;;Pollo > Pechuga y Filetitos de Pollo;;12.5;https://super.lider.cl/ip/pollo/00789151555199
Pechuga de pollo;unimarc;1 kg;82101;Pechuga pollo deshuesada Sadía congelada 1 Kg;Sadia;6690.0;6690.0;6690.0;;Kg;1 un;mass;1000.0;;;6.69;;Pollo;Pechugas y filetitos;14.0;https://www.unimarc.cl/pechuga-deshuesada-sadia-iqf-1-kg/p
