cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Harina de trigo;1 kg;unimarc;78352;Harina Nuestra Cocina con polvos 1 Kg;Nuestra Cocina;1330.0;1330.0;1000.0;10000.0;Kg;1 un;mass;1000.0;;;1.33;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-c-polvos-nuestra-cocina-1-kg/p
Harina de trigo;1 kg;unimarc;29;Harina Mont Blanc sin polvos 1 Kg;Mont Blanc;1350.0;1350.0;1050.0;10500.0;Kg;1 un;mass;1000.0;;;1.35;;Harina y repostería;Harina;8.0;https://www.unimarc.cl/harina-mont-blanc-sin-polvos-1-kg/p
Avena;500 g tradicional o instantanea;jumbo;22467;Pan Centeno Mestemacher Orgánico con Avena y Cebada 500 g;Mestemacher;3290.0;3290.0;2632.0;;;;mass;500.0;;;6.58;;;Pan Integral y Funcional;8.0;https://www.jumbo.cl/pan-organico-tres-granos-mestemacher-500-g-2/p
Avena;500 g tradicional o instantanea;jumbo;104121;Harina Quaker de Avena Integral 450 g;Quaker;2990.0;2990.0;2990.0;;;;mass;450.0;;;6.644444444444445;;;Harina Integral y Otras;7.7;https://www.jumbo.cl/harina-avena-integral-quaker-450g-1894721/p
Avena;500 g tradicional o instantanea;jumbo;88969;Harina de Avena Mi Tierra Sin Gluten 400 g;Mi Tierra;3790.0;3790.0;3790.0;;;;mass;400.0;;;9.475;;;Harina Integral y Otras;7.4;https://www.jumbo.cl/harina-de-avena-s-gluten-400-g/p
Avena;500 g tradicional o instantanea;jumbo;77242;Harina Avena Integral Bob's Red Mill 623 g;Bob's Red Mill;6990.0;6990.0;6990.0;;;;mass;623.0;;;11.219903691813805;;;Harina Integral y Otras;7.2620000000000005;https://www.jumbo.cl/harina-avena-integral-623-g/p
Avena;500 g tradicional o instantanea;jumbo;140613;Harina de Avena Selecta 850 g;Selecta;2390.0;2390.0;1990.0;;;;mass;850.0;;;2.8117647058823527;;;Harina Integral y Otras;5.9;https://www.jumbo.cl/harina-de-avena-selecta-850gr-2008105/p
Avena;500 g tradicional o instantanea;lider;dom_5;Avena Instantanea, 500 g;;1940.0;1940.0;970.0;;;;mass;500.0;;;3.88;;Cereales > Avenas;;8.0;https://super.lider.cl/ip/cereales/00780396000036
Avena;500 g tradicional o instantanea;lider;dom_6;Avena Instantánea, 500 g;;2000.0;2000.0;1000.0;;;;mass;500.0;;;4.0;;Cereales > Avenas;;8.0;https://super.lider.cl/ip/cereales/00780012017027
Avena;500 g tradicional o instantanea;lider;dom_24;Avena Instantánea, 500 g;;4000.0;4000.0;2000.0;;;;mass;500.0;;;8.0;;Cereales > Avenas;;8.0;https://super.lider.cl/ip/cereales/00780200001990
Avena;500 g tradicional o instantanea;lider;dom_17;Avena Instantánea, 450 g;;2380.0;2380.0;1190.0;;;;mass;450.0;;;5.288888888888889;;Cereales > Avenas;;7.7;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780874360559
Avena;500 g tradicional o instantanea;lider;dom_21;Avena Instantánea, 450 g;;2380.0;2380.0;1190.0;;;;mass;450.0;;;5.288888888888889;;Dulces Mermeladas y Manjar > Azúcar;;7.7;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780874360559
Avena;500 g tradicional o instantanea;unimarc;74188;Harina de avena Quaker integral 450 g;Quaker;2990.0;2990.0;2990.0;;Kg;1 un;mass;450.0;;;6.644444444444445;;Harina y repostería;Harina;7.7;https://www.unimarc.cl/harina-de-avena-integral-quaker-450-gr/p
Avena;500 g tradicional o instantanea;unimarc;89360;Pan de molde El Espigal integral avena 400 g;El Espigal;2390.0;2390.0;2390.0;;Kg;1 un;mass;400.0;;;5.975;;Pan envasado;Pan molde y pita;7.4;https://www.unimarc.cl/molde-integral-avena-400-gr/p
Avena;500 g tradicional o instantanea;unimarc;87159;Harina de avena Selecta integral 850 g;Selecta;2250.0;2250.0;2250.0;;Kg;1 un;mass;850.0;;;2.6470588235294117;;Harina y repostería;Harina;5.9;https://www.unimarc.cl/harina-de-avena-integral-selecta-850-gr/p
Azúcar;1 kg;jumbo;88730;Azúcar Cuisine & Co Blanca Granulada 1 kg;Cuisine & Co;1290.0;1290.0;1290.0;;;;mass;1000.0;;;1.29;;;Azúcar;8.0;https://www.jumbo.cl/azucar-blanca-granulada-1-kg-cuisine-and-co-1821380/p
Azúcar;1 kg;jumbo;149213;Azúcar Uniao 1 kg;Uniao;1390.0;1390.0;1390.0;;;;mass;1000.0;;;1.39;;;Azúcar;8.0;https://www.jumbo.cl/azucar-uniao-1k-2039667/p
Azúcar;1 kg;jumbo;1633;Azúcar Blanca Iansa 1 kg;Iansa;1490.0;1490.0;1490.0;;;;mass;1000.0;;;1.49;;;Azúcar;8.0;https://www.jumbo.cl/azucar-blanca-granulada-iansa-1-kg/p
