idx_1;idx_2;supermarket_1;supermarket_2;name_1;name_2;brand_1;brand_2;price_1;price_2;size_std_1;size_std_2;unit_family;category_std;text_similarity;brand_score;final_score
8570;15280;jumbo;unimarc;Helado Bresler Cassata Trisabor Chocolate, Frutilla y Vainilla 1 L;Helado Bresler cassata chocolate frutilla y vainilla 1 L;Bresler;Bresler;3590.0;3450.0;;;;;0.6761;1.0;0.7571
8552;15276;jumbo;unimarc;Helado Bresler Cremissimo Costa Rama 900 ml;Helado Bresler cremissimo costa rama 900 ml;Bresler;Bresler;5390.0;6290.0;;;;;1.0;1.0;1.0
8567;15292;jumbo;unimarc;Helado Bresler Cremissimo Orly Berries 900 ml;Helado Bresler cremissimo orly berries 900 ml;Bresler;Bresler;5390.0;6290.0;;;;;1.0;1.0;1.0
8574;15293;jumbo;unimarc;Helado Bresler Cremissimo Mecano 900 ml;Helado Bresler cremissimo mecano 900 ml;Bresler;Bresler;5390.0;6290.0;;;;;1.0;1.0;1.0
8608;15345;jumbo;unimarc;Helado La Cremería Crunchy 3 Leches 1 L;Helado La Cremería crunchy 3 leches 1 L;La Cremería;La Cremeria;6390.0;5190.0;;;;;1.0;1.0;1.0
8541;15252;jumbo;unimarc;Helado Savory Chocolate Suizo y Frutos del Bosque 1 L;Helado Savory chocolate suizo y frutos del bosque 1 L;Savory;Savory;3890.0;2890.0;;;;;1.0;1.0;1.0
8542;15251;jumbo;unimarc;Helado Savory Chocolate Suizo Cassata 1 L;Helado Savory chocolate suizo cassata 1 L;Savory;Savory;3890.0;2890.0;;;;;1.0;1.0;1.0
8544;15277;jumbo;unimarc;Helado Savory Chocolate Lúcuma 1 L;Helado Savory chocolate lúcuma 1 L;Savory;Savory;3890.0;3690.0;;;;;1.0;1.0;1.0
8569;15270;jumbo;unimarc;Helado Trendy Suspiros Crema Frambuesa 1 L;Helado Trendy suspiros crema frambuesa 1 L;Trendy;Trendy;5790.0;4090.0;;;;;1.0;1.0;1.0
8632;15302;jumbo;unimarc;Helado Yogen Früz Chocolate Naranja 800 cc;Helado Yogen Fruz chocolate naranja 800 ml;Yogen Früz;Yogen Fruz;6990.0;6990.0;;;;;0.8261;1.0;0.8696
8634;15401;jumbo;unimarc;Helado Yogen Früz Mango Maracuyá 800 ml;Helado Yogen Fruz mango maracuyá 800 ml;Yogen Früz;Yogen Fruz;6990.0;6990.0;;;;;1.0;1.0;1.0
8640;15298;jumbo;unimarc;Helado Yogen Früz Frambuesa 800 ml;Helado Yogen Fruz frambuesa 800 ml;Yogen Früz;Yogen Fruz;6990.0;6990.0;;;;;1.0;1.0;1.0
2022;22889;jumbo;unimarc;Hilo Dental Oral-B Essentialfloss Sabor Menta 2 un.;Hilo dental Oral B essentialfloss sabor menta 2 un;Oral-B;Oral B;4690.0;3990.0;;;;;1.0;1.0;1.0
11711;21495;jumbo;unimarc;Insecticida Raid Mata Moscas y Mosquitos Aerosol 360 ml;Insecticida Raid mata moscas, mosquitos y zancudo 360 cc Insecticida Raid mata moscas y mosquitos aerosol 360 ml;Raid;Raid;4690.0;3490.0;;;;;0.8022;1.0;0.8517
11695;21491;jumbo;unimarc;Insecticida Tanax Mata Insectos Sin Olor 560 ml;Insecticida Tanax mata insectos sin olor 560 cc;Tanax;Tanax;3112.0;3490.0;;;;;0.6723;1.0;0.7542
11763;21491;jumbo;unimarc;Insecticida Tanax Mata Insectos Sin Olor 560 ml;Insecticida Tanax mata insectos sin olor 560 cc;Tanax;Tanax;3112.0;3490.0;;;;;0.6723;1.0;0.7542
11714;21498;jumbo;unimarc;Insecticida Tanax Moscas y Zancudos Sin Olor 560 ml;Insecticida Tanax moscas y zancudos sin olor 560 cc;Tanax;Tanax;3112.0;3490.0;;;;;0.7143;1.0;0.7857
2808;23174;jumbo;unimarc;Jabón Íntimo Nosotras Sensitiv 200 ml;Jabón íntimo Nosotras sensitiv 200 ml;Nosotras;Nosotras;3990.0;4990.0;;;;;1.0;1.0;1.0
2872;23174;jumbo;unimarc;Jabón Íntimo Nosotras Sensitiv 200 ml;Jabón íntimo Nosotras sensitiv 200 ml;Nosotras;Nosotras;3990.0;4990.0;;;;;1.0;1.0;1.0
2077;22937;jumbo;unimarc;Jabón Líquido Dove Karité 700 ml;Jabón líquido Dove karité 700 ml;Dove;Dove;2583.0;3000.0;;;;;1.0;1.0;1.0
2169;22937;jumbo;unimarc;Jabón Líquido Dove Karité 700 ml;Jabón líquido Dove karité 700 ml;Dove;Dove;2583.0;3000.0;;;;;1.0;1.0;1.0
2104;22974;jumbo;unimarc;Jabón Líquido Le Sancy Aceite de Almendras 750 ml;Jabón líquido Le Sancy aceite de almendras 750 ml;Le Sancy;Le Sancy;2990.0;3150.0;;;;;1.0;1.0;1.0
9940;14020;jumbo;unimarc;Jugo Guallarauco Naranja 0% Azúcar Añadida 1 L;Jugo Guallarauco naranja 0% azúcar añadida botella 1 L;Guallarauco;Guallarauco;2450.0;3000.0;;;;;0.7247;1.0;0.7935
10100;14020;jumbo;unimarc;Jugo Guallarauco Naranja 0% Azúcar Añadida 1 L;Jugo Guallarauco naranja 0% azúcar añadida botella 1 L;Guallarauco;Guallarauco;2450.0;3000.0;;;;;0.7247;1.0;0.7935
9986;14091;jumbo;unimarc;Jugo en Polvo Livean Melón Tuna 7 g;Jugo en polvo Livean melón tuna rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.8476;1.0;0.8857
9987;14100;jumbo;unimarc;Jugo en Polvo Livean Papaya 7 g;Jugo en polvo Livean papaya rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7487;1.0;0.8116
9989;14092;jumbo;unimarc;Jugo en Polvo Livean Piña 7 g;Jugo en polvo Livean piña rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7175;1.0;0.7881
9990;14094;jumbo;unimarc;Jugo en Polvo Livean Berries 7 g;Jugo en polvo Livean berries rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7175;1.0;0.7881
9993;14096;jumbo;unimarc;Jugo en Polvo Livean Mango 7 g;Jugo en polvo Livean mango rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7487;1.0;0.8116
