group_id;supermarket;name;brand;category_std;unit;unit_family;net_content;size_std;price;price_num;detail_url
14653;unimarc;Gin Tanqueray flor de sevilla 700 cc;Tanqueray;;litro;;1 un;;16990;16990.0;https://www.unimarc.cl/gin-flor-de-sevilla-tanqueray-700cc-bot/p
14654;unimarc;Gin Tanqueray london 700 ml;Tanqueray;;litro;;1 un;;19490;19490.0;https://www.unimarc.cl/gin-london-dry-tanqueray-70-ml-bot/p
14655;unimarc;Gin Tanqueray london zero botella 700 cc;Tanqueray;;litro;;1 un;;19990;19990.0;https://www.unimarc.cl/gin-london-zero-tanqueray-700-ml-bot/p
14656;unimarc;Gin Patagon maqui botella 750 cc;Patagon;;litro;;1 un;;16390;16390.0;https://www.unimarc.cl/gin-patagon-maqui-750-ml-bot/p
14657;unimarc;Gin Bombay sapphire botella 1 L;Bombay;;litro;;1 un;;23990;23990.0;https://www.unimarc.cl/gin-sapphire-bombay-1-lt-bot/p
14658;unimarc;Gin Patagon original botella 750 cc;Patagon;;litro;;1 un;;16390;16390.0;https://www.unimarc.cl/gin-patagon-original-750-ml-bot/p
14659;unimarc;Gin Beefeater blackberry botella 700 cc;Beefeater;;litro;;1 un;;19990;19990.0;https://www.unimarc.cl/gin-blackberry-beefeater-700-cc-bot/p
14660;unimarc;Gin london dry Beefeater botella 1 lt;Beefeater;;litro;;1 un;;21490;21490.0;https://www.unimarc.cl/gin-london-dry-beefeater-1-lt-bot/p
14661;unimarc;Gin Hendricks 700 cc;Hendricks;;litro;;1 un;;29390;29390.0;https://www.unimarc.cl/gin-hendricks-700-cc-bot/p
14662;unimarc;Gin Brighton botella 700 cc;Brighton;;litro;;1 un;;10990;10990.0;https://www.unimarc.cl/gin-brighton-700-ml-bot/p
14663;unimarc;Gin Brighton tangerine botella 700 cc;Brighton;;litro;;1 un;;10990;10990.0;https://www.unimarc.cl/gin-tangerine-brighton-700-ml-bot/p
14664;unimarc;Gin Malfy rosa pomelo 750 cc;Malfy;;litro;;1 un;;30990;30990.0;https://www.unimarc.cl/gin-rosa-pomelo-malfy-750-ml-bot/p
14665;unimarc;Gin Provincia botánica botella 700 cc;Provincia;;Kg;mass;1 un;;19990;19990.0;https://www.unimarc.cl/gin-botanica-provincia-700-cc-bot/p
14666;unimarc;Gin artesanal Pajarillo botella 700 cc;Pajarillo;;litro;;1 un;;17850;17850.0;https://www.unimarc.cl/gin-artesanal-pajarillo-700-cc-bot/p
14667;unimarc;Gin Tanqueray ten 750 cc;Tanqueray;;litro;;1 un;;32990;32990.0;https://www.unimarc.cl/gin-ten-tanqueray-750cc-bot/p
14668;unimarc;Gin Provincia andes dry botella 700 cc;Provincia;;Kg;mass;1 un;;19990;19990.0;https://www.unimarc.cl/gin-andes-dry-provincia-700-cc-bot/p
14669;unimarc;Gin Malfy originale 750 cc;Malfy;;litro;;1 un;;30990;30990.0;https://www.unimarc.cl/gin-originale-malfy-750-ml-bot/p
