cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;premium_score;detail_url
Aceite vegetal combinado o puro;1 litro premium;jumbo;122676;Aceite de Maravilla Miraflores 900 ml;Miraflores;2950.0;2950.0;2950.0;;;;volume;900.0;;;3.2777777777777777;;;Aceite;14.2;https://www.jumbo.cl/aceite-maravilla-miraflores-900-ml-1952461/p
Aceite vegetal combinado o puro;1 litro premium;jumbo;122676;Aceite de Maravilla Miraflores 900 ml;Miraflores;2950.0;2950.0;2950.0;;;;volume;900.0;;;3.2777777777777777;;;Aceites, Sal y Condimentos (Mostrar todo);14.2;https://www.jumbo.cl/aceite-maravilla-miraflores-900-ml-1952461/p
Aceite vegetal combinado o puro;1 litro premium;lider;dom_8;Aceite Vegetal Botella, 1 L;;2390.0;2390.0;2390.0;;;;volume;1000.0;;;2.39;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281001202
Aceite vegetal combinado o puro;1 litro premium;lider;dom_4;Aceite Maravilla Botella, 1 L;;2490.0;2490.0;2490.0;;;;volume;1000.0;;;2.49;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00040005052441
Aceite vegetal combinado o puro;1 litro premium;lider;dom_15;Aceite Canola Botella, 1 L;;2500.0;2500.0;2500.0;;;;volume;1000.0;;;2.5;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00040005052442
Aceite vegetal combinado o puro;1 litro premium;lider;dom_5;Aceite De Maravilla Botella Botella, 1 L;;3490.0;3490.0;600.0;;;;volume;1000.0;;;3.49;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281000209
Aceite vegetal combinado o puro;1 litro premium;lider;dom_6;Aceite de Maravilla Botella, 1 L;;3790.0;3790.0;1000.0;;;;volume;1000.0;;;3.79;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00779027200101
Aceite vegetal combinado o puro;1 litro premium;lider;dom_23;Aceite De Canola Botella, 1 L;;5390.0;5390.0;5390.0;;;;volume;1000.0;;;5.39;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281000561
Aceite vegetal combinado o puro;1 litro premium;lider;dom_37;Aceite Maíz Botella, 1 L;;5390.0;5390.0;5390.0;;;;volume;1000.0;;;5.39;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281000215
Aceite vegetal combinado o puro;1 litro premium;lider;dom_28;Aceite Freír Botella, 1 L;;5790.0;5790.0;5790.0;;;;volume;1000.0;;;5.79;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281000550
Aceite vegetal combinado o puro;1 litro premium;lider;dom_24;Aceite Olivado Botella, 1 L;;6990.0;6990.0;6990.0;;;;volume;1000.0;;;6.99;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00040005066696
Aceite vegetal combinado o puro;1 litro premium;lider;dom_16;Aceite Pepa de Uva Botella, 1 L;;8090.0;8090.0;8090.0;;;;volume;1000.0;;;8.09;;Aceites y Aderezos > Aceites;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780281000218
Aceite vegetal combinado o puro;1 litro premium;lider;dom_8;Aceite Oliva Extra Virgen Botella, 1 L;;12650.0;12650.0;12650.0;;;;volume;1000.0;;;12.65;;Aceites y Aderezos > Aceites de Oliva;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780460872016
Aceite vegetal combinado o puro;1 litro premium;lider;dom_3;Aceite Oliva Extra Virgen Botella, 1 L;;14990.0;14990.0;14990.0;;;;volume;1000.0;;;14.99;;Aceites y Aderezos > Aceites de Oliva;;10.5;https://super.lider.cl/ip/aceites-y-aderezos/00780876090046
Avena;500 g premium;jumbo;104121;Harina Quaker de Avena Integral 450 g;Quaker;2990.0;2990.0;2990.0;;;;mass;450.0;;;6.644444444444445;;;Harina Integral y Otras;12.7;https://www.jumbo.cl/harina-avena-integral-quaker-450g-1894721/p
Avena;500 g premium;jumbo;140613;Harina de Avena Selecta 850 g;Selecta;2390.0;2390.0;1990.0;;;;mass;850.0;;;2.8117647058823527;;;Harina Integral y Otras;10.9;https://www.jumbo.cl/harina-de-avena-selecta-850gr-2008105/p
Avena;500 g premium;jumbo;22467;Pan Centeno Mestemacher Orgánico con Avena y Cebada 500 g;Mestemacher;3290.0;3290.0;2632.0;;;;mass;500.0;;;6.58;;;Pan Integral y Funcional;9.0;https://www.jumbo.cl/pan-organico-tres-granos-mestemacher-500-g-2/p
Avena;500 g premium;jumbo;88969;Harina de Avena Mi Tierra Sin Gluten 400 g;Mi Tierra;3790.0;3790.0;3790.0;;;;mass;400.0;;;9.475;;;Harina Integral y Otras;8.4;https://www.jumbo.cl/harina-de-avena-s-gluten-400-g/p
Avena;500 g premium;jumbo;77242;Harina Avena Integral Bob's Red Mill 623 g;Bob's Red Mill;6990.0;6990.0;6990.0;;;;mass;623.0;;;11.219903691813805;;;Harina Integral y Otras;8.262;https://www.jumbo.cl/harina-avena-integral-623-g/p
Avena;500 g premium;lider;dom_5;Avena Instantanea, 500 g;;1940.0;1940.0;970.0;;;;mass;500.0;;;3.88;;Cereales > Avenas;;9.0;https://super.lider.cl/ip/cereales/00780396000036
Avena;500 g premium;lider;dom_6;Avena Instantánea, 500 g;;2000.0;2000.0;1000.0;;;;mass;500.0;;;4.0;;Cereales > Avenas;;9.0;https://super.lider.cl/ip/cereales/00780012017027
Avena;500 g premium;lider;dom_24;Avena Instantánea, 500 g;;4000.0;4000.0;2000.0;;;;mass;500.0;;;8.0;;Cereales > Avenas;;9.0;https://super.lider.cl/ip/cereales/00780200001990
Avena;500 g premium;lider;dom_17;Avena Instantánea, 450 g;;2380.0;2380.0;1190.0;;;;mass;450.0;;;5.288888888888889;;Cereales > Avenas;;8.7;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780874360559
Avena;500 g premium;lider;dom_21;Avena Instantánea, 450 g;;2380.0;2380.0;1190.0;;;;mass;450.0;;;5.288888888888889;;Dulces Mermeladas y Manjar > Azúcar;;8.7;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780874360559
Avena;500 g premium;lider;dom_37;Avena Multisemilla, 550 g;;4600.0;4600.0;2990.0;;;;mass;550.0;;;8.363636363636363;;Cereales > Avenas;;8.7;https://super.lider.cl/ip/cereales/00780200001787
Avena;500 g premium;lider;dom_40;Avena 4 Semillas y Berries, 550 g;;5436.0;5436.0;2990.0;;;;mass;550.0;;;9.883636363636363;;Cereales > Avenas;;8.7;https://super.lider.cl/ip/cereales/00780012017021
Avena;500 g premium;lider;dom_7;Harina de Avena Quaker, 450 g;;6200.0;6200.0;2790.0;;;;mass;450.0;;;13.777777777777779;;Harinas y Polvos > Harinas Integrales;;8.7;https://super.lider.cl/ip/harinas-y-polvos/00780200001466
Avena;500 g premium;lider;dom_31;Avena Integral Multisemilla, 600 g;;3817.0;3817.0;2290.0;;;;mass;600.0;;;6.361666666666666;;Cereales > Avenas;;8.4;https://super.lider.cl/ip/cereales/00780226400121
Avena;500 g premium;lider;dom_32;Avena Instantánea, 400 g;;3975.0;3975.0;1590.0;;;;mass;400.0;;;9.9375;;Cereales > Avenas;;8.4;https://super.lider.cl/ip/cereales/00780012017024
Avena;500 g premium;lider;dom_33;Avena Multisemillas I, 600 g;;3988.0;3988.0;3590.0;;;;mass;600.0;;;6.6466666666666665;;Cereales > Avenas;;8.4;https://super.lider.cl/ip/cereales/00780200001789
Avena;500 g premium;lider;dom_11;Avena Instantánea, 400 g;;4000.0;4000.0;2000.0;;;;mass;400.0;;;10.0;;Cereales > Avenas;;8.4;https://super.lider.cl/ip/cereales/00780200001786
Avena;500 g premium;unimarc;74188;Harina de avena Quaker integral 450 g;Quaker;2990.0;2990.0;2990.0;;Kg;1 un;mass;450.0;;;6.644444444444445;;Harina y repostería;Harina;12.7;https://www.unimarc.cl/harina-de-avena-integral-quaker-450-gr/p
Avena;500 g premium;unimarc;87159;Harina de avena Selecta integral 850 g;Selecta;2250.0;2250.0;2250.0;;Kg;1 un;mass;850.0;;;2.6470588235294117;;Harina y repostería;Harina;10.9;https://www.unimarc.cl/harina-de-avena-integral-selecta-850-gr/p
Avena;500 g premium;unimarc;89360;Pan de molde El Espigal integral avena 400 g;El Espigal;2390.0;2390.0;2390.0;;Kg;1 un;mass;400.0;;;5.975;;Pan envasado;Pan molde y pita;8.4;https://www.unimarc.cl/molde-integral-avena-400-gr/p
Leche líquida entera;1 litro premium;jumbo;6609;Leche Colun Entera 1 L;Colun;1350.0;1350.0;1350.0;;;;volume;1000.0;;;1.35;;;Leches (Mostrar todo);15.5;https://www.jumbo.cl/leche-entera-colun-caja-1-l-natural/p
Leche líquida entera;1 litro premium;jumbo;6609;Leche Colun Entera 1 L;Colun;1350.0;1350.0;1350.0;;;;volume;1000.0;;;1.35;;;Leche Líquida;15.5;https://www.jumbo.cl/leche-entera-colun-caja-1-l-natural/p
Leche líquida entera;1 litro premium;jumbo;102180;Leche Soprole Entera Cremosa 1 L;Soprole;1560.0;1560.0;1560.0;;;;volume;1000.0;;;1.56;;;Leche Líquida;15.5;https://www.jumbo.cl/leche-entera-4-5-mg-soprole-1l-1881647/p
Leche líquida entera;1 litro premium;jumbo;134465;Leche Surlat Entera 1 L;Surlat;1050.0;1050.0;1050.0;;;;volume;1000.0;;;1.05;;;Leches (Mostrar todo);11.5;https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p
Leche líquida entera;1 litro premium;jumbo;134465;Leche Surlat Entera 1 L;Surlat;1050.0;1050.0;1050.0;;;;volume;1000.0;;;1.05;;;Leche Líquida;11.5;https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p
